X,Y,Z,列車名,種別,vertex_index,distance,angle
139.60167,35.44846,0,はやぶさ,本線,310,0.30393097,226.2912632
139.59907,35.44598,0,はやぶさ,本線,311,0.307524074,229.1530747
139.59884,35.4458,0,はやぶさ,本線,312,0.307816136,236.8871837
139.59856,35.44565,0,はやぶさ,本線,313,0.308133783,243.7584303
139.59825,35.44551,0,はやぶさ,本線,314,0.30847393,243.9684551
139.59787,35.44531,0,はやぶさ,本線,315,0.308903349,244.5214344
139.59752,35.44516,0,はやぶさ,本線,316,0.309284137,249.4912603
139.59724,35.44507,0,はやぶさ,本線,317,0.309578246,253.2362366
139.59692,35.44498,0,はやぶさ,本線,318,0.309910662,257.2544776
139.59605,35.44483,0,はやぶさ,本線,319,0.310793498,265.6544046
139.595,35.44485,0,はやぶさ,本線,320,0.311843688,274.5740252
139.59281,35.44516,0,はやぶさ,本線,321,0.31405552,277.4634132
139.59115,35.44536,0,はやぶさ,本線,322,0.315727525,277.7752054
139.58853,35.44576,0,はやぶさ,本線,323,0.318377883,277.2932798
139.58824,35.44579,0,はやぶさ,本線,324,0.318669431,277.0600659
139.58346,35.44648,0,はやぶさ,本線,325,0.323498975,277.8799442
139.57961,35.44699,0,はやぶさ,本線,326,0.327382608,272.7221216
139.57852,35.44695,0,はやぶさ,本線,327,0.328473341,263.0866168
139.57746,35.44673,0,はやぶさ,本線,328,0.329555931,252.6713938
139.57668,35.4464,0,はやぶさ,本線,329,0.330402867,244.7399091
139.57557,35.44582,0,はやぶさ,本線,330,0.331655264,242.7080401
139.57451,35.44528,0,はやぶさ,本線,331,0.332844886,243.1702049
139.56987,35.44295,0,はやぶさ,本線,332,0.338037044,243.1852669
139.5693,35.44266,0,はやぶさ,本線,333,0.338676575,243.6722125
139.56587,35.44101,0,はやぶさ,本線,334,0.342482806,243.3786639
139.56242,35.43921,0,はやぶさ,本線,335,0.346374143,239.8093233
139.56211,35.43901,0,はやぶさ,本線,336,0.34674306,231.6951667
139.56187,35.43878,0,はやぶさ,本線,337,0.347075476,225.8542854
139.56128,35.4382,0,はやぶさ,本線,338,0.347902821,223.9489144
139.56012,35.43693,0,はやぶさ,本線,339,0.34962285,222.8362144
139.5598,35.43659,0,はやぶさ,本線,340,0.350089755,220.7376604
139.55943,35.43612,0,はやぶさ,本線,341,0.350687919,220.1576317
139.55821,35.43477,0,はやぶさ,本線,342,0.352507506,219.68532
139.55786,35.43431,0,はやぶさ,本線,343,0.35308552,213.160503
139.55741,35.4335,0,はやぶさ,本線,344,0.354012127,204.1994667
139.55708,35.43256,0,はやぶさ,本線,345,0.35500837,194.8760203
139.5569,35.43158,0,はやぶさ,本線,346,0.356004763,185.466673
139.55689,35.43049,0,はやぶさ,本線,347,0.357094809,177.4075207
139.5569,35.43039,0,はやぶさ,本線,348,0.357195308,177.1447034
139.5569,35.4302,0,はやぶさ,本線,349,0.357385308,180.3672605
139.55689,35.42942,0,はやぶさ,本線,350,0.358165372,182.1554277
139.55688,35.42926,0,はやぶさ,本線,351,0.358325684,181.7881672
139.55688,35.4289,0,はやぶさ,本線,352,0.358685684,181.7881672
139.55687,35.42874,0,はやぶさ,本線,353,0.358845996,183.6952046
